2025-05-14 16:23 - WARNING - insert or update on table "category" violates foreign key constraint "category_parent_id_fkey"
DETAIL:  Key (parent_id)=(3fa85f64-5717-4562-b3fc-2c963f66afa6) is not present in table "category".

2025-05-14 16:23 - WARNING - insert or update on table "category" violates foreign key constraint "category_parent_id_fkey"
DETAIL:  Key (parent_id)=(3fa85f64-5717-4562-b3fc-2c963f66afa6) is not present in table "category".

2025-05-14 16:24 - WARNING - Product not found
2025-05-14 16:24 - WARNING - insert or update on table "product" violates foreign key constraint "product_category_id_fkey"
DETAIL:  Key (category_id)=(3fa85f64-5717-4562-b3fc-2c963f66afa6) is not present in table "category".

2025-05-14 16:25 - WARNING - insert or update on table "category" violates foreign key constraint "category_parent_id_fkey"
DETAIL:  Key (parent_id)=(3fa85f64-5717-4562-b3fc-2c963f66afa6) is not present in table "category".

2025-05-14 16:38 - WARNING - insert or update on table "product" violates foreign key constraint "product_category_id_fkey"
DETAIL:  Key (category_id)=(3fa85f64-5717-4562-b3fc-2c963f66afa6) is not present in table "category".

2025-05-14 16:41 - WARNING - insert or update on table "product" violates foreign key constraint "product_category_id_fkey"
DETAIL:  Key (category_id)=(3fa85f64-5717-4562-b3fc-2c963f66afa6) is not present in table "category".

2025-05-14 17:12 - WARNING - 'User' object has no attribute 'uuid' in app.services.product_service
2025-05-16 15:07 - WARNING - -------------
2025-05-16 15:10 - WARNING - 1
2025-05-16 15:10 - WARNING - 2
2025-05-16 15:10 - WARNING - 3
2025-05-16 15:10 - WARNING - 4
2025-05-16 15:10 - WARNING - 5
2025-05-16 15:15 - WARNING - 1
2025-05-16 15:15 - WARNING - 2
2025-05-16 15:15 - WARNING - 3
2025-05-16 15:15 - WARNING - 4
2025-05-16 15:15 - WARNING - 5
2025-05-16 15:16 - WARNING - 1
2025-05-16 15:16 - WARNING - 2
2025-05-16 15:16 - WARNING - 3
2025-05-16 15:16 - WARNING - 4
2025-05-16 15:16 - WARNING - 5
2025-05-16 15:40 - WARNING - 1
2025-05-16 15:40 - WARNING - 2
2025-05-16 15:40 - WARNING - 3
2025-05-16 15:40 - WARNING - 4
2025-05-16 15:40 - WARNING - 5
2025-05-16 15:41 - WARNING - 1
2025-05-16 15:41 - WARNING - 2
2025-05-16 15:41 - WARNING - 3
2025-05-16 15:41 - WARNING - 4
2025-05-16 15:41 - WARNING - 5
2025-05-16 15:42 - WARNING - 1
2025-05-16 15:42 - WARNING - 2
2025-05-16 15:42 - WARNING - 3
2025-05-16 15:42 - WARNING - 4
2025-05-16 15:42 - WARNING - 5
2025-05-16 15:42 - WARNING - 1
2025-05-16 15:42 - WARNING - 2
2025-05-16 15:42 - WARNING - 3
2025-05-16 15:42 - WARNING - 4
2025-05-16 15:42 - WARNING - 5
2025-05-16 15:45 - WARNING - 1
2025-05-16 15:45 - WARNING - 2
2025-05-16 15:45 - WARNING - 1
2025-05-16 15:45 - WARNING - 2
